rna_RD001	rna_RD002	rna_RD003	rna_RD004	rna_RD005	rna_RD006	rna_RD007	rna_RD008	rna_RD009	rna_RD010	rna_RD011	rna_RD012	rna_RD013	rna_RD014	rna_RD015	rna_RD016	rna_RD017	rna_RD018	rna_RD019	rna_RD020	rna_RD021
ENSMUSG00000000248.16	0	0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253.13	71.17	76.2	46.8	89.26	38.86	32.14	61.6	45.88	39.68	21.98	30.29	35.44	39.2	45.93	30.25	41.77	74.8	47.91	41.36	51.34	57.32
ENSMUSG00000000263.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266.11	0	0.33	0.83	2.44	0.3	0.93	1.01	0.85	0.33	0	0	0.9	0	0	0	0.33	0	0	0	0	0
ENSMUSG00000000275.16	2.65	3.61	1.81	10.05	2.93	3.24	1.51	4.98	1.51	1.02	1.09	1.18	0.28	1.35	0.27	1.58	0	0	0.41	1.74	0
ENSMUSG00000000276.11	0	0	0	0.75	0.59	0.49	0.5	0.48	0.23	0	0	0	0	0	0.47	0	0	0	0	0	0
ENSMUSG00000000278.10	5.53	1.98	9.09	10.91	15.33	10.96	7.4	4.2	4.94	2.85	2.44	2.21	1.58	3.44	1.52	1.03	0	0	2.28	0	0
ENSMUSG00000000282.12	2.78	0.43	4.24	2.74	5.98	2.92	2.77	2.65	0.43	1.24	0	0	0.35	1	0	0.45	0	0.44	0	0	0
ENSMUSG00000000290.13	0	0	0	0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000295.13	12.85	10.95	2.97	11.89	10.63	9.46	14.65	4.66	8.2	7.79	2.4	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000296.8	13.45	11.91	11.66	5.76	21.3	9.9	5.87	0	4.08	2.64	2.37	16.22	3.25	6.4	0	3.03	0	0	0	3.34	0
ENSMUSG00000000301.16	0	0	0	0	12.43	0	0	6.12	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000303.12	5.84	9.53	9.62	15.7	14.34	18.48	12.47	9.15	3.13	4.01	2.63	2.14	1.08	9.19	1.44	0.66	0	1.37	1.03	3.11	1.06
ENSMUSG00000000305.12	0.86	1.47	1.76	0.93	0.6	6.77	0.33	0.52	0	0	0	0	0	0	0	0	0	0	0.35	0	0
ENSMUSG00000000308.14	3.62	1.41	4.18	2.63	2.73	5	7.46	6.17	0	15.36	1.16	8.38	0	3.27	1.08	1.37	0	1.44	1.63	0	0
ENSMUSG00000000317.11	0.56	0.6	2.44	0.6	1.16	0.41	1.28	0	0.6	0	0	0.67	0	0.69	1.37	0	0	1.22	0	0	0
ENSMUSG00000000318.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000320.10	0	0.67	0	0.68	0.86	0.47	0.95	1.15	0	0.65	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000325.15	7.68	13.34	6.13	12.55	9.42	11.5	4.01	6.97	11.25	9.14	3.7	10.06	3.42	9.56	2.88	9.7	0	17.58	5.19	14.48	26.56
ENSMUSG00000000326.12	12.11	14.72	11.1	16.18	10.57	12.16	8.13	13.16	7.83	14.97	10.23	19.02	9.09	18.89	8.56	6.03	24.03	9.23	9.31	9.37	2.79
ENSMUSG00000000339.14	10.35	5.34	13.83	6.48	5.18	13.83	8.3	5.58	6.69	7.83	0	0	3.26	0	0	0	0	0	0	0	0
ENSMUSG00000000340.10	2.84	6.46	4.36	6.12	18.89	9.65	6.91	11.3	0	12.46	1	0	1.95	3.53	0.94	1.91	0	0	0	0	0
ENSMUSG00000000346.9	12.65	14.53	8.92	27.24	32.69	26.19	24.87	20.48	3.9	17.68	8.78	5.42	12.41	19.11	14.13	22.28	19.79	16.8	21.26	33.65	13.75
ENSMUSG00000000355.13	2.97	7	0	6.97	19.74	0	7.21	11.93	7.16	0	0	0	0	0	2.44	0	0	7.28	8.19	8.3	8.64
ENSMUSG00000000359.3	2.78	5.09	4.57	3.84	4.03	0	0	2.17	2.55	0	0	0	0	0	9.31	1.33	0	1.52	0	0	0
ENSMUSG00000000365.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000374.8	4.56	3.18	3.69	3.73	2.42	5.31	2.09	5.53	0.39	3.11	0	0	0	3.14	0.3	0.41	0	0.4	0.63	0	0
ENSMUSG00000000378.15	2.69	0	5.3	5.81	5.54	1.91	1.47	17.47	0	0	0.99	0	0	0	1.06	0	0	0	0	0	0
ENSMUSG00000000381.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384.15	1.67	9.59	0.94	8.5	4.95	3.11	7.73	3.31	4.54	1.7	3.51	5.16	0	2.13	0	9.44	0	0	0	0	10.72
ENSMUSG00000000385.7	3.57	7.66	0.65	1.28	6.19	5.75	5.46	1.63	1.91	3.06	2.63	1.43	1.02	2.22	0.98	2.66	0	1.3	0	0	0
ENSMUSG00000000386.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000392.17	0.88	0	0	1.73	1.67	0	0	0	0.94	0	0	0	0.57	0	0	0	0	0	0	0	0
ENSMUSG00000000394.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399.10	8.3	7.51	4.57	17.56	5.78	13.4	9.49	11.4	3.56	12.65	6.28	8.36	9.54	10.38	4.09	4.68	0	0	1.72	0	0
ENSMUSG00000000402.2	1.4	1.5	2.31	2.27	1.46	4.17	4.83	2.56	1.5	0	0.62	0	0	0.87	0	0.79	0	0	0	0	0
ENSMUSG00000000409.14	0	0	0	0	4.11	2.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000411.7	0	0	0	0	0	0	0	0	0	0	1.41	0	1.37	0	0	0	0	0	0	0	0
ENSMUSG00000000416.16	5.05	0.76	0.96	11.2	0.91	2.59	0.5	1.2	0	0.45	0	1.05	0	0	0	0	0	0	0	0	0.56
ENSMUSG00000000420.15	6.41	6.06	26.41	14.48	20.56	17.7	12.89	9.64	7.93	3.62	1.24	4.19	3.74	4.51	2.63	1.04	59.37	0.54	6.74	6.77	3.48
ENSMUSG00000000435.1	0	0	1.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439.9	383.1	404.37	360.35	352.36	358.28	303.34	360.89	353.38	403.03	234.06	174.04	242.97	154.07	240.64	147.47	184.76	160.97	277.42	278.27	275.32	326.8
ENSMUSG00000000440.12	2.66	0	0	0	0	1.68	0	0	0	2.29	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000441.17	145.27	168.64	142.66	168.28	182.88	132.98	155.19	144.65	154.3	80.7	65.46	102.11	75.47	136.37	100.75	117.44	102.63	106.84	81.87	86.47	84.71
ENSMUSG00000000486.13	2.85	3.45	0	0	0	4.8	3.7	2.94	3.49	0	0	0	0	0	0	0	0	0	7.53	0	0
ENSMUSG00000000489.7	0	1.91	0	4.6	1.85	1.43	4.15	1.17	0.69	3.73	3.21	5.49	0	0	0	0	0	8.81	1.1	1.59	0
ENSMUSG00000000530.16	1.07	0	1.75	12.38	2.13	0.79	0.61	0.49	0.57	0	0.45	0	0.46	0.66	0	0	0	0	0.66	0	0
ENSMUSG00000000531.5	0	2.04	0	0	3.96	0.71	0	0	0	0.98	0.84	0	0	0	0	0	0	2.08	0	0	2.42
ENSMUSG00000000532.11	2.09	0.9	0	0.9	2.61	1.56	0.48	1.91	1.8	1.29	0.37	0.5	0.72	0.52	0	0.47	0	0.92	0	0.52	0
ENSMUSG00000000538.18	3.08	2.92	1.25	2.04	0.79	3.88	0	1.8	0.96	1.52	1.34	0	2.2	2.23	0	4.22	0	0	0.61	0	4.04
ENSMUSG00000000544.14	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000552.10	3.34	0.93	0.95	0	0	4.51	0.99	0	0.93	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000555.8	2.11	2.72	2.3	1.82	3.52	1.57	1.94	2.68	0.91	0	0	0	0	0.53	0	0	0	0	0	0	0
ENSMUSG00000000560.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000561.14	2.39	2.46	5	4.61	3.16	8.19	8.17	3.67	0.54	0	0.45	0	0	0	1.96	0	0	0	0	0	0
ENSMUSG00000000562.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000563.17	55.07	58.92	41.79	126.9	74.59	99.23	54.84	63.33	41.01	88.06	57.57	41.82	52.37	65.97	21.06	27.45	0	14.88	6.13	13.82	16.32
ENSMUSG00000000567.5	0.9	0.48	1.97	0	1.4	1.67	0.52	0	0	0	0	0	0	0	0	0	0	0.98	1.11	2.23	0
ENSMUSG00000000568.15	107.2	115.89	114.48	146.4	166.4	204.43	243.07	99.18	95.17	8.5	5.53	7.51	10.27	7.91	7.86	6.16	0	6.86	22.71	12.29	4.27
ENSMUSG00000000579.14	0	1.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000581.8	13.72	24.17	23.6	26.99	21.7	28.51	22.69	6.13	15.32	24.97	3.02	0.76	2.92	0.79	2.67	0	0	0.69	0	0	0
ENSMUSG00000000594.7	1.8	0.48	0.99	3.39	2.81	3.01	0	2.46	0.48	4.17	3.18	3.77	0.77	2.79	0.37	0.5	0	0	0	0	0
ENSMUSG00000000600.15	3.27	1.75	0.42	0	3.67	2.63	6.43	0	0.82	1.68	3.23	2.6	1.63	1	3.68	0.43	0	0	0	0	0
ENSMUSG00000000605.9	12	6.34	2.2	12.68	8.5	2.54	0.92	3.62	7.92	3.88	0.35	0.96	2.39	2.05	0.33	0.45	0	1.77	0.5	0	0
ENSMUSG00000000606.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
