rna_RD001	rna_RD002	rna_RD003	rna_RD004	rna_RD005	rna_RD006	rna_RD007	rna_RD008	rna_RD009	rna_RD010	rna_RD011	rna_RD012	rna_RD013	rna_RD014	rna_RD015	rna_RD016	rna_RD017	rna_RD018	rna_RD019	rna_RD020	rna_RD021
ENSMUSG00000024309.14	21.79	24.02	11.02	16.16	40.91	22.2	5.1	27.47	21.88	2.84	0	6.78	6.44	0	4.15	0	330.21	0	0	0	0
ENSMUSG00000024312.9	11.18	10.21	5.68	5.14	2.69	6.72	0	9.53	0.93	4.91	0.76	1.04	0	2.15	0	7.42	0	0.94	5.95	0	0
ENSMUSG00000024313.7	6.71	1.8	4.6	3.62	6.11	3.12	2.89	2.3	1.8	3.46	2.22	6.04	1.44	7.31	6.91	3.76	0	0	0	0	0
ENSMUSG00000024317.14	1.21	0.67	0.69	2.7	1.31	0	2.16	0.57	0	0	0.53	0	0.54	0	0	0	0	0	0	0	0
ENSMUSG00000024319.17	0.96	3.94	4.84	0	10.5	4.35	3.85	6.03	2.38	0	0	0.67	1.89	2.9	0	0	0	0	2.73	5.9	0
ENSMUSG00000024325.8	16.53	1.02	11.33	6.15	1.98	2.83	3.28	14.63	1.02	0.98	0.84	0	0	2.37	0.78	0	0	9.36	0	0	0
ENSMUSG00000024327.15	54.82	27.54	11.93	30.29	38.76	15.7	18.01	18.45	17.72	10.62	6.48	10.83	6.54	13	4.28	1.03	0	2.83	6.75	6.43	10.45
ENSMUSG00000024330.16	0	0	0	0	0.34	0.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024331.11	0.79	0	0	0.53	0.51	0	0	0	0	0	0	0	0	0	0	0.46	0	0	0	0	0
ENSMUSG00000024334.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024335.19	32.39	15.96	51.18	52.58	21.31	44.32	19.71	31.55	4.81	5.24	18.86	2.69	3.31	7.7	0.94	40.94	0	3.97	0.51	28.81	0
ENSMUSG00000024338.14	2.5	0	0	1.31	0	2.77	0	2.48	0	0	0	4.04	0	0	0	0	0	0	0	3.4	0
ENSMUSG00000024339.12	0	0	0	1.6	0	0	0	0.68	0.8	9.83	0	0	0	0.92	0	0	0	9.06	0.67	3.37	10.68
ENSMUSG00000024340.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024346.5	19.53	14.6	27.77	23.05	18.21	40.4	13.39	24.85	12.58	22.05	0	14.1	8.35	12.14	3.21	4.39	0	0	2.41	4.85	2.49
ENSMUSG00000024347.16	0	0	0	0.43	0	0.3	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024349.9	1.67	0	0	0	0.87	0	0	0.76	0	0	0	0	0	1.04	0	0	0	0	0	0	0
ENSMUSG00000024350.5	0.36	0	0.39	1.15	1.11	2.39	0	0.65	0	0.73	0	0	0	0	0.59	0.8	0	0	0	0	0
ENSMUSG00000024352.11	3.32	7.06	10.79	10.65	0	7.31	3.78	0	3.57	3.4	0	0	0	0	0	3.76	0	0	0	0	0
ENSMUSG00000024353.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024354.11	4.35	2.67	4.78	4.69	4.53	3.24	2.14	3.01	1.11	14.11	10.44	8.95	7.48	7.74	6.15	9.06	0	0	0.77	0	0
ENSMUSG00000024357.9	2.33	1.25	1.28	6.26	4.84	4.32	4	4.24	3.75	1.2	0	0	2	0	0.96	0	0	0	0	1.44	0
ENSMUSG00000024359.8	32.7	28.89	28.92	43.79	40.58	61.84	36.03	34.95	13.91	52.8	11.45	19.24	15.25	20.73	12.2	14.55	0	0.68	2.29	8.66	7.34
ENSMUSG00000024360.7	6.53	8.09	6.06	9.75	8.37	7.86	8.08	4.13	1042.28	3.11	1.33	3.01	0.86	0.62	1.24	2.25	0	0.55	0.62	0	1.27
ENSMUSG00000024365.9	0	35.09	22.86	49.41	0	6.7	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17	0
ENSMUSG00000024366.7	0	0	0	0	0	0.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024369.16	35.75	99.4	27.86	65.94	44.87	79.03	61.34	46.95	44.37	36.67	31.6	32.04	19.4	30.71	13.34	32.51	0	15.71	25.62	8.63	5.58
ENSMUSG00000024370.16	105.21	136.91	156.19	101.07	186.29	125.21	112.24	131.79	154.72	6.15	3.11	4.3	0.77	4.5	2.22	4.52	9.84	19.17	39.54	15.07	12.5
ENSMUSG00000024371.14	34.34	45.58	46.91	36.94	38.87	48.64	32.26	32.32	37.54	6.44	5.06	16.71	12.7	35.31	15.29	20.22	0	0	29.54	0	1.27
ENSMUSG00000024376.6	2.41	0.52	5.3	3.12	3.01	1.8	3.33	3.09	2.59	0	0	0	0.41	1.2	0	0	0	0	0	0	0
ENSMUSG00000024378.9	3.19	10.86	0	3.6	4.76	7.33	7.23	2.34	0.77	0	4.2	0	0.93	0	0.3	0	0	0	0	0	0
ENSMUSG00000024379.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024381.15	3.65	1.95	3	4.91	3.79	3.39	8.36	3.33	2.93	0	0	0	0	0	0.75	0	0	1.99	0	0	0.99
ENSMUSG00000024382.13	6.3	6.78	0.77	3.02	3.64	5.19	2.41	5.95	0	0	0	0.84	0.6	0.87	0	0	0	0	0	0.87	0
ENSMUSG00000024383.8	0.67	0.18	0.37	0.54	0	0	0.19	0.46	0	0	0	0	0.29	0	0	0.37	0	0.18	0	0	0
ENSMUSG00000024384.4	34.88	6.37	16.98	6.94	29.82	20.45	9.57	17.69	20.94	20.1	6.95	19.46	16.29	34.57	3.79	6.65	0	12.56	0.66	0	0.73
ENSMUSG00000024386.8	0	5.44	1.39	0	0	0.94	0	0	0	2.61	2.24	3.05	0	1.58	2.09	0	0	0	0	0	0
ENSMUSG00000024387.13	50.62	12.23	4.96	25.88	18.05	60.61	28.68	39.34	24.45	15.39	0	9.68	7.11	36.04	0	0	0	0	5.62	0	0
ENSMUSG00000024388.10	0.55	0	0.3	0	0.86	0.21	0	0	0	0.28	0	0	0.24	1.03	0.45	0.31	0	0.3	0	0	0
ENSMUSG00000024391.7	4.2	11.21	2.3	6.76	0	4.65	0	0	2.25	15.08	3.7	15.17	5.39	5.22	0	0	0	0	0	0	0
ENSMUSG00000024392.17	17.79	24.61	23.15	35.72	26.89	19.73	26.04	28.43	40.34	10.13	3.03	11.65	2.51	18.76	6.08	8.43	0	11.09	0	9.32	3.15
ENSMUSG00000024393.14	12.81	12.41	7.27	12.17	6.11	12.11	10.24	7.13	3.98	3.71	1.64	0	2.77	4.2	0.65	1.48	0	0.59	0.66	0	0.34
ENSMUSG00000024395.8	1.04	1.12	0	0	0	0	0	0	1.12	2.15	0	1.25	3.85	7.72	0	0	0	0	0	0	0
ENSMUSG00000024397.14	0	6.29	0	6.37	18.36	4.32	0	2.39	0	0	0	7.25	0	0	0	0	0	0	0	0	0
ENSMUSG00000024399.5	0	0	0	2.58	0	0	0	0	2.58	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024400.15	9.72	9.5	11.33	10.49	10.43	12.3	10.16	12.12	5.37	10.64	10.68	8.12	6.59	13.93	10.69	16.47	19.39	9.35	10.23	10.97	14.17
ENSMUSG00000024401.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024402.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024403.16	22.43	16.79	17.2	15.79	10.17	11.77	11.2	8.91	10.64	5.03	4.35	6	0	0	0.85	0	0	10.82	18.29	12.31	19.13
ENSMUSG00000024404.6	3.05	6.56	3.35	1.1	2.65	6.45	3.51	3.26	1.64	1.05	0.9	1.83	1.75	0.63	0.84	2.28	0	0.56	1.26	0	0.64
ENSMUSG00000024406.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024409.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024410.14	4.83	10.75	6.71	10.5	11.08	4.17	1.13	1.8	3.7	0	0.44	0.59	1.27	5.29	0	0.55	0	2.7	1.1	0	2.5
ENSMUSG00000024411.9	0.72	0.39	1.59	0.78	1.88	1.35	1.25	1.32	0.39	0.37	0.64	3.04	0	0.45	0	1.21	0	0	0	0	0
ENSMUSG00000024413.13	2.46	1.51	0.77	3.42	3.66	1.93	3.23	1.61	3.02	3.27	1.87	0.42	1.51	1.75	1.45	0.39	0	2.69	3.49	3.06	4.45
ENSMUSG00000024414.13	21.09	22.43	23.01	18	24.9	24.35	18.03	38.2	16.18	3.08	11.34	10.91	0	18.73	2.47	3.4	0	0	4.48	3.74	0
ENSMUSG00000024420.8	0.89	0.32	0.65	1.6	1.55	1.55	1.37	1.09	0.32	0	0	0	0	0	0	0	0	0.33	0	0	0
ENSMUSG00000024421.16	0.33	0	0	0.36	0	0.25	0	0	0	0	0	0.44	0	1.23	0	0	0	0	0	0	0
ENSMUSG00000024422.14	0	1.23	4.4	2.41	16.44	6.47	4.35	8.74	0.61	1.77	1.01	6.6	0.98	1.42	0	6.84	117.65	1.25	0.71	0	6.31
ENSMUSG00000024423.5	0.54	0.59	1.2	0	0.57	1.22	0.63	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0
ENSMUSG00000024424.14	0	0.79	0	2.15	1.04	4.05	2.29	0.91	0	0	1.32	0	0	1.84	0.48	0	0	0	0	0	0
ENSMUSG00000024425.3	20.95	9.93	17.81	14.97	28.92	15.45	5.31	10.57	10	9.55	4.1	11.22	3.98	5.79	3.82	0	0	2.54	0	0	2.97
ENSMUSG00000024426.17	3.57	7.62	9.48	5.06	10.46	4.46	4.08	0	11.9	7.89	1.24	0	16.48	13.08	5.6	5.4	0	0	3.68	0	0
ENSMUSG00000024427.6	0.4	0.43	0	0.43	0.84	0.6	0.92	0.37	0	0	0	0	0	0.5	0	0.45	0	0	0	0.5	0
ENSMUSG00000024429.9	16.03	5.67	14.43	3.57	17.19	4.44	14.94	6.66	2.85	0.68	0.59	0	5.95	3.3	2.19	1.49	0	0	0	7.08	0.84
ENSMUSG00000024430.13	3.62	7.75	12.95	15.1	10.11	6.75	2.93	4.97	4.87	9.95	6.89	12.51	22.83	37.13	14.26	21.38	0	9.59	37.7	23.25	9.93
ENSMUSG00000024431.14	1.73	2.21	1.59	4.29	3.01	10.95	1.99	1.94	1.24	0.89	0	0.69	0.88	2.72	0	0	0	0	0	0.36	0
ENSMUSG00000024436.16	12.39	6.33	16.07	5.97	11.37	9.6	19.92	2.18	5.15	5.72	8.48	9.5	13.96	10.77	9.7	12.48	0	21.84	12.2	5.96	3.06
ENSMUSG00000024437.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024440.12	1.28	0	3.61	1.04	0.53	1.18	0.91	1.92	0	0	0.62	0.95	0.68	1.62	0	0	0	0.56	0.98	0	0
ENSMUSG00000024442.5	3.18	4.26	4.36	3.43	7.44	4.73	0.91	3.63	2.56	0	0.7	0.95	1.37	3.96	0	1.78	0	1.74	0.98	0.99	0
ENSMUSG00000024446.13	4.3	0	0	0	0	8	11.83	0	4.61	10.61	3.77	7.2	7.02	5.34	0	3.57	0	0	0	0	0
ENSMUSG00000024448.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024451.8	0.35	1.13	0.77	0.38	1.1	0.79	0.4	0.32	0	0	0.62	0	0.3	0	0	0	0	0	0	0	0
ENSMUSG00000024454.15	5.83	5.12	3.18	5.27	5.06	9.86	3.39	2.65	1.59	0	3.92	1.78	2.49	1.2	0	1.66	0	3.24	0	0	0
ENSMUSG00000024456.16	2.71	5.38	4.53	13.11	4.4	5.74	4.37	3.09	4.6	0.44	0.87	10.2	3.35	5.18	0.84	2.27	0	3.95	4.86	0.52	5.39
ENSMUSG00000024457.16	4.18	13.47	8.58	13.65	7.99	5.15	12.7	8.37	5.5	4.13	0	3.99	0.73	0	0.7	0	0	1.87	6.35	1.06	2.17
ENSMUSG00000024459.18	0	0	0	0	0	0	0.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024462.17	0.46	1.47	0	2.23	1.43	0.98	0	3.71	0	0	0	0	2.36	0	1.02	0	0	0	0	0	0
ENSMUSG00000024471.12	0	2.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024472.9	1.26	1.59	2.31	1.82	7.63	1.26	1.69	1.16	0.68	0	0	0	0.18	0.26	0	0.24	0	0	0	0	0
ENSMUSG00000024474.6	40.87	39.54	53.05	52.08	52.39	53.63	48.54	33.1	24.3	18.68	8.9	15.73	13.58	10.03	4.98	7.91	22.07	9.92	12.48	15.02	14.07
ENSMUSG00000024477.3	0	2.23	0	0.75	1.44	0	0.79	0.63	0.74	0	1.22	0	1.78	0	0	0	0	0	0	0	0
ENSMUSG00000024479.3	1.92	1.37	3.51	2.76	4.66	2.38	4.4	8.17	2.06	1.32	1.69	0	1.65	0.8	1.58	1.43	0	0	0	0.79	0
ENSMUSG00000024480.8	2.63	1.41	9.58	4.7	20.53	8.28	7.9	3.41	2.82	3.15	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024481.4	0.58	0	0	0.63	0	0.43	0	0	0.63	0	0	0	0	0	0	0.65	0	1.28	0	0	0
ENSMUSG00000024483.18	16.81	14.72	9.05	22.82	12.56	14.75	15.22	13.58	3.56	1.13	4.65	1.13	8.98	6.53	1.7	2.36	0	5.71	0.27	17.84	5.07
ENSMUSG00000024485.15	0.7	0.75	0	0	0.73	0.52	2.27	0	0	3.4	0.58	0	0.6	1.74	0	0	0	0	0	0	0
ENSMUSG00000024486.5	0	0.86	0	1.74	4.19	2.4	0.92	2.21	0.87	0.83	0	0	0	0	0	0	0	1.76	0	1	0
ENSMUSG00000024487.4	0.82	1.76	1.8	3.54	1.71	5.51	1.89	2.25	3.53	0.85	0.73	1.97	0	0	0	0	0	0	0	0	0
ENSMUSG00000024491.15	0.58	1.57	1.96	3.15	1.82	1.77	0.34	0.27	0.32	0.62	0.53	0.36	0	0.37	0.25	0	0	0	0.74	0	0
ENSMUSG00000024493.8	4.82	0	2.12	1.56	2.51	2.51	3.32	4.41	1.55	0.99	0	0	0.83	0.6	0	0	0	0	0	0	0
ENSMUSG00000024497.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024498.15	5.8	5.28	8.72	7	12.13	8.81	14.28	9.51	2.55	1.84	0.47	1.27	0.91	1.32	0	0.59	0	0	0.66	0	0
ENSMUSG00000024500.18	0	0	0	0	0	2.84	0	0.87	0	2.95	2.53	12.6	4.78	5.93	4.71	8.56	0	0.94	0	0	0
ENSMUSG00000024501.19	0.94	3	3.58	5.94	3.26	6.65	4.92	4.01	1.34	3	0	0	0	9.69	0	0	0	1	1.21	3.64	0
ENSMUSG00000024502.9	0	0.57	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024503.2	0	14.46	7.46	7.29	42.26	19.86	0	6.17	7.41	62.66	30.17	83.8	34.88	93.97	11.21	0	0	0	0	0	0
ENSMUSG00000024505.15	0.77	0	0.73	1.1	0	0	1.77	1.21	0	1.05	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024507.6	4.95	7.58	8.8	6.09	3.62	6.31	8.08	12.53	5.15	2.18	8.22	7.61	5.43	5.58	1.16	5.19	0	0	0.88	0	0
ENSMUSG00000024510.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024511.15	0.71	0	0.29	0.77	0.74	1.59	0.82	0.61	0.76	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024512.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024513.16	12.81	16.55	27.22	25.59	22.45	18.49	14.02	13.93	1.7	6.31	11.86	3.59	5.73	20.61	12.7	5.57	0	0	6.64	1.96	1.26
ENSMUSG00000024515.13	0	15	17.77	11.46	4.21	8.9	10.01	17.99	0.92	6.63	5.75	0	0.48	6.84	0	5	0	0	0	0	0.7
ENSMUSG00000024516.12	9.24	14.47	15.14	0	6.86	4.99	3.77	7.74	0	12.81	2.44	0	5.65	16.48	0	3.6	0	17.4	0	0	8.71
ENSMUSG00000024517.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024518.3	0	0	0	0	0	0	0	0	0	0	0	1.42	0	0	0	0	0	0	0	0	0
ENSMUSG00000024519.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024521.7	0	0	0.79	0	0.75	0	0	0	0	0	1.27	0	0.62	0	0	0	0	0	0.89	0	2.73
ENSMUSG00000024524.16	94.97	64.28	84.24	63.77	76.97	72.93	72.38	70.08	100.81	81.68	62.51	90.66	78.35	119.53	74.54	91.71	192.98	70.46	143.49	86.03	71.27
ENSMUSG00000024525.6	3.57	2.55	2.61	2.56	2.47	3.53	1.36	1.08	3.83	2.45	0	1.43	0	1.48	0.98	1.34	0	1.3	1.47	0	0
ENSMUSG00000024526.8	0	1.9	0	0	0	0	0	1.62	0	1.83	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024527.9	3.66	3.93	3.35	3.28	3.17	4.99	2.1	6.12	1.31	2.51	0.54	1.46	1.05	1.52	2.01	1.36	0	0	0	0.76	0
ENSMUSG00000024528.7	2.74	4.4	4.51	7.37	1.42	4.07	1.57	3.75	1.47	1.41	1.21	0	1.18	1.71	2.26	1.54	0	0	1.7	1.7	0
ENSMUSG00000024529.13	1.03	5.22	3.16	6.92	1.82	6.72	6.81	4.29	2.78	0	0	0.62	0	0	0.43	0	0	0	0	0	0
ENSMUSG00000024530.7	2.67	4.77	0.98	1.91	0	0.66	1.02	1.62	0.95	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024532.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024533.16	12.42	3.46	1.81	3.98	1.8	2.93	4.81	2.6	1.09	2.17	0.6	0.63	0.83	0.98	0.77	0	0	0	0	0	0
ENSMUSG00000024534.15	4.16	5.81	7.36	6.17	10.39	9.37	3.79	3.56	4.35	1.36	7.21	0	6.24	0	0	0	0	0	0	0	0
ENSMUSG00000024535.15	2.15	5.3	2.35	6.67	0	0.77	5.12	0	1.11	0	0	0	0	1.29	0	0	0	0	0	0	2.74
ENSMUSG00000024537.4	3.98	2.13	2.18	0	8.26	1.47	0	0	2.14	2.04	1.76	2.4	0	0	0	0	0	0	0	0	0
ENSMUSG00000024538.7	27	23.78	12.17	34.13	31.31	37.63	32.71	21.68	11.93	21.22	9.81	11.46	5.44	9.88	2.61	3.57	0	0	0	0	0
ENSMUSG00000024539.17	5.07	8.59	8.34	12.47	9.55	8.19	12.01	5.78	5.45	1.37	1.18	7.62	0	1.66	2.09	1.42	0	0	0	3.15	5.09
ENSMUSG00000024542.9	0.6	0.72	0.66	0.79	0.7	0.88	0.69	1.13	0.24	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024544.8	2.29	4.92	14.26	8.24	3.98	4.55	6.14	2.09	5.74	6.3	11.48	5.5	22.98	7.61	16.37	12.85	33.5	2.51	2.84	2.85	0
ENSMUSG00000024546.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024548.11	0.55	0.78	0.6	1.57	0.57	0.54	1.67	0.17	0.2	0	0	0.22	0	0	0.15	0.2	0	0.2	0	0	0
ENSMUSG00000024552.15	0.68	0.73	0	0	0.7	1.01	0	2.47	0	2.09	1.2	1.62	0	0.84	0	0.76	0	0	0	0	0
ENSMUSG00000024553.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024556.3	3.11	1.67	0	0	4.04	2.89	0.89	2.84	2.5	0	0	0.93	0	0	0	0	0	0.85	0	0	0
ENSMUSG00000024558.12	0.8	0.82	7.35	1.15	0	1.5	8.25	1.47	0	0.41	0.47	0	0	0.5	5.96	0	0	7.41	0	0	0
ENSMUSG00000024560.6	5.08	8.57	4.78	7.04	6.04	6.48	7.5	5.96	3.11	2.24	1.92	0.87	0.62	0.9	1.2	0	0	0.79	0.9	2.7	0
ENSMUSG00000024561.9	5.48	9.04	3.4	3.74	5.95	6.15	2.49	6.04	4.75	5.05	3.91	1.81	2.27	4.13	1.49	0	0	0	0	1.87	0
ENSMUSG00000024563.15	10.58	6.56	11.44	15.42	11.23	2.87	4.55	13.74	4.26	0	0	1.59	0.57	2.74	0	0	0	0	0	0	0.84
ENSMUSG00000024565.8	0.53	0	1.16	0.86	0	0.2	0.91	0.24	0.28	0	0	0	0	0	0	0.3	0	0	0	0	0
ENSMUSG00000024566.9	14.13	7.57	0.78	0	12.32	6.64	0.49	7.03	0	6.02	0	0	0.37	3.98	2.62	0	0	2.99	0	0	0
ENSMUSG00000024570.6	5.88	9.43	12.87	6.32	9.15	5.44	3.36	2.68	1.58	6.04	1.3	3.53	0	1.83	2.42	3.3	0	0	0	0	1.87
ENSMUSG00000024571.14	7.86	8.01	3.94	5.8	8.07	14.66	10.75	7.65	0	2.47	4.23	1.41	0	1.49	0	0	0	1.31	1.48	1.89	0
ENSMUSG00000024575.15	0	0.91	0	0	0.88	0	0	0	0	0	0	0	0	0	0	0	0	0.93	1.05	0	0
ENSMUSG00000024576.14	26.52	31.31	29.64	55.62	33.12	54.33	46.71	25.69	31.99	7.98	2.34	6.49	5.63	18.53	2.75	8.91	0	1.48	3.34	3.35	0.58
ENSMUSG00000024578.2	0	0	3.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024579.7	0.96	0	0	1.03	0	0	0	0	0	0	0.85	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024580.7	2.3	0.49	0	0.99	0	2.06	1.06	0.84	0.99	0.47	0	0	0.79	0	0	0	0	0	0	0	0
ENSMUSG00000024581.12	7.63	7.83	0.58	0	1.93	2.75	2.11	3.81	8.16	1.08	6.54	0	0.9	0.65	0	0	0	0	0	0	0
ENSMUSG00000024583.2	3.72	2.39	7.35	4.01	6.19	7.19	5.98	4.07	1.6	4.6	4.6	0	0.64	1.85	0.61	1.67	0	0	0	0	0
ENSMUSG00000024587.9	7.93	8.52	10.29	10.88	9.01	8.59	4.97	12.52	3.1	3.72	2.55	2.6	2.48	2.69	1.19	0.81	0	0.79	0	0	0
ENSMUSG00000024588.8	1.95	2.79	1.43	2.8	2.71	5.33	4.48	0	0.7	6.71	1.72	4.68	0.56	2.43	0.54	1.46	0	0.71	0	0.81	0
ENSMUSG00000024589.16	6.4	7.2	7.23	5.68	6.69	4.88	15.12	10.84	4.25	2.45	3.05	0.38	0.47	5.19	0.49	0.67	0	0.34	0	1.09	0
ENSMUSG00000024590.8	7.97	14.73	23.25	16.47	23.95	23.38	15.21	22.83	7.87	0	0	0	0	0.83	0	0	0	0	0.82	0	0
ENSMUSG00000024592.15	0	0	0	0	0	0.59	0.91	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024593.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024594.8	1.92	1.65	2.53	1.66	1.6	0.86	1.32	0.7	0.41	0.4	0	0	0.66	0	0	0.43	0	0	0	0	0
ENSMUSG00000024597.10	1.4	1.2	1.23	2.42	3.5	3.34	2.58	2.05	1.2	0.29	0.99	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024598.8	0.69	1.48	1.33	2.79	2.52	0.9	1.19	1.58	0.56	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024600.8	0	0.82	3.37	1.65	0	2.28	1.76	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024601.8	5.19	2.39	1.63	1.6	3.09	3.87	4.26	3.39	2.39	0	0.66	0	0.64	0.92	0.61	2.49	0	0.81	0	0	0
ENSMUSG00000024603.8	4.55	3.21	7.79	8.39	11.73	9.3	5.07	11.57	8.64	2.2	2.2	0	14.73	11.33	0.41	4.85	0	1.25	0.53	0	3.6
ENSMUSG00000024604.7	2.61	4.67	2.86	4.69	11.84	13.14	11.98	4.77	2.8	1.79	0	0	0	2.17	0	0	0	0	0	1.08	0
ENSMUSG00000024608.10	278.45	391.1	262.25	388.8	354.71	422.38	263.15	448.57	226.88	148.53	27.88	147.88	16.45	115.93	25.32	42.78	77.01	22.78	33.93	36.33	23.66
ENSMUSG00000024610.14	1.69	0	1.85	0	1.75	3.75	0	0	0	13.9	0	8.13	1.45	4.21	5.56	13.3	0	9.25	0	6.3	3.84
ENSMUSG00000024613.16	10.76	3.57	3.09	5.78	13.55	5.09	4.48	2.61	3.9	0	0.51	0	0	3.16	0.67	0	0	0	0	0.72	0
ENSMUSG00000024614.6	2	0.43	1.32	1.3	2.92	3.28	0.46	2.56	0.86	0.41	0.71	0.48	0.34	0	0	0.9	0	0	0	0	0
ENSMUSG00000024617.16	0	0	0.63	1.22	0.6	0.55	0	0.53	0	0	0	0	0	0	0	0	0	2.39	0	0	0
ENSMUSG00000024619.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024620.11	2.71	2.92	2.24	3.66	3.54	4.81	1.56	4.04	1.09	0.35	0.3	0.81	0.29	0	0	0	0	0.74	0	0	0
ENSMUSG00000024621.15	78.84	72.09	77.99	80.83	79.68	73.41	98.28	86.08	91.36	63.95	55.14	55.02	58.01	62.98	48.83	76.82	163.53	122.36	134.71	102.75	122.7
ENSMUSG00000024622.7	2.16	1.16	1.58	2.72	1.13	1.34	3.73	1.98	1.55	1.86	1.91	0.86	2.17	1.35	0.89	2.82	0	2.76	1.34	0.89	1.37
ENSMUSG00000024639.5	6.92	5.84	6.2	3.5	5.08	3.59	2.24	1.78	2.61	0.34	5.13	0	4.06	3.18	0	2.83	0	0	0	0	0
ENSMUSG00000024640.9	11.46	14.95	0	2.72	6.96	4.95	16.79	14.84	0	0	0	1.52	1.44	0	0	0	0	0	0	0	0
ENSMUSG00000024642.16	0.81	0.87	1.78	1.75	1.27	0.6	1.4	1.48	0.44	0.84	0	0	0.35	0	0.33	0.45	0	0	0	0	0
ENSMUSG00000024644.16	14.16	5.06	10.15	22.13	10.8	27.13	13	7.75	3.04	15.25	4.17	12.47	4.8	12.92	3.11	4.23	0	2.07	1.17	0	1.2
ENSMUSG00000024645.4	4.64	3.31	1.7	3.33	6.43	2.29	0	2.82	1.66	0	0	0	0	0	1.27	0	0	1.69	0	0	0
ENSMUSG00000024646.13	7.77	54.13	28.09	65.32	44.39	87.45	30.03	46.83	19.62	197.43	43.89	121.71	27.21	126.74	34.17	40.07	0	3.81	4.79	0	6.2
ENSMUSG00000024647.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024650.4	4.61	3.47	4.56	4.97	5.28	10.3	5.3	4.21	0.99	8.08	9.37	8.84	8.72	6.88	5.32	4.64	0	0.5	0	0	0
ENSMUSG00000024653.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
