gene_id	P1_padj
ENSMUSG00000000001.4	0.996600225294602
ENSMUSG00000000003.15	NA
ENSMUSG00000000028.14	0.997350354780048
ENSMUSG00000000031.16	0.993800590714752
ENSMUSG00000000037.16	0.996036672710514
ENSMUSG00000000049.11	NA
ENSMUSG00000000056.7	0.995119976037571
ENSMUSG00000000058.6	0.997598821287163
ENSMUSG00000000078.7	0.996684086355977
ENSMUSG00000000085.16	0.996957288611463
ENSMUSG00000000088.7	0.999552340521009
ENSMUSG00000000093.6	0.973355348785978
ENSMUSG00000000094.12	0.994446672958662
ENSMUSG00000000103.12	NA
ENSMUSG00000000120.6	0.884622819396341
ENSMUSG00000000125.5	NA
ENSMUSG00000000126.11	0.998296571552599
ENSMUSG00000000127.14	0.999147553904764
ENSMUSG00000000131.15	0.99294936818596
ENSMUSG00000000134.17	0.999152901464979
ENSMUSG00000000142.15	0.952973586607838
ENSMUSG00000000148.17	0.998514447103665
ENSMUSG00000000149.10	0.971920342552298
ENSMUSG00000000154.16	0.993719338585402
ENSMUSG00000000157.15	0.987903502266032
ENSMUSG00000000159.15	0.998138567445104
ENSMUSG00000000167.14	0.857049916549337
ENSMUSG00000000168.9	0.9197258234731
ENSMUSG00000000171.5	0.995727777016489
ENSMUSG00000000182.9	NA
ENSMUSG00000000183.6	NA
ENSMUSG00000000184.12	0.996189527852113
ENSMUSG00000000194.13	0.994991840717142
ENSMUSG00000000197.8	0.997788528625519
ENSMUSG00000000202.9	0.99854220127201
ENSMUSG00000000204.16	0.997962657955534
ENSMUSG00000000214.11	0.206993499084317
ENSMUSG00000000215.11	NA
ENSMUSG00000000216.8	0.994963711986231
ENSMUSG00000000223.13	0.995356594281554
ENSMUSG00000000244.17	0.994405672135257
ENSMUSG00000000247.11	0.994172127913906
ENSMUSG00000000248.16	NA
ENSMUSG00000000253.13	0.994193162724754
ENSMUSG00000000263.15	NA
ENSMUSG00000000266.11	0.996740820017566
ENSMUSG00000000275.16	0.995952066705479
ENSMUSG00000000276.11	0.993681831058626
ENSMUSG00000000278.10	0.994546401281716
ENSMUSG00000000282.12	0.999443830986426
ENSMUSG00000000290.13	0.7458779962537
ENSMUSG00000000295.13	0.987805900629602
ENSMUSG00000000296.8	0.938526414057579
ENSMUSG00000000301.16	0.584545554659101
ENSMUSG00000000303.12	0.994965610834555
ENSMUSG00000000305.12	0.997200863607485
ENSMUSG00000000308.14	0.908502606034995
ENSMUSG00000000317.11	0.994458598886774
ENSMUSG00000000318.16	0.997427701729243
ENSMUSG00000000320.10	0.99979438001241
ENSMUSG00000000325.15	0.997139701586865
ENSMUSG00000000326.12	0.994077753844501
ENSMUSG00000000339.14	0.993877794017491
ENSMUSG00000000340.10	0.996991464645553
ENSMUSG00000000346.9	0.996259395001418
ENSMUSG00000000355.13	0.991472691247524
ENSMUSG00000000359.3	0.992979222197156
ENSMUSG00000000365.9	0.993805958598744
ENSMUSG00000000374.8	0.952981081559134
ENSMUSG00000000378.15	0.993820926260879
ENSMUSG00000000381.10	NA
ENSMUSG00000000384.15	0.99893310857082
ENSMUSG00000000385.7	0.999564707367635
ENSMUSG00000000386.14	0.995314031613373
ENSMUSG00000000392.17	0.998150099966396
ENSMUSG00000000394.15	NA
ENSMUSG00000000399.10	0.997959521199444
ENSMUSG00000000402.2	0.437186782622395
ENSMUSG00000000409.14	0.993097710416671
ENSMUSG00000000411.7	NA
ENSMUSG00000000416.16	0.998948836503965
ENSMUSG00000000420.15	0.998880335630794
ENSMUSG00000000435.1	NA
ENSMUSG00000000439.9	0.996405218076251
ENSMUSG00000000440.12	0.996982572384048
ENSMUSG00000000441.17	0.995739112456013
ENSMUSG00000000486.13	0.851898223527313
ENSMUSG00000000489.7	0.993884573932473
ENSMUSG00000000530.16	0.995485606094936
ENSMUSG00000000531.5	0.97672670919055
ENSMUSG00000000532.11	0.976716134384052
ENSMUSG00000000538.18	0.966770271513717
ENSMUSG00000000544.14	0.994421551225531
ENSMUSG00000000552.10	0.976529361951771
ENSMUSG00000000555.8	0.998393578420108
ENSMUSG00000000560.9	0.99813776524563
ENSMUSG00000000561.14	0.999011549889053
ENSMUSG00000000562.5	NA
ENSMUSG00000000563.17	0.994263469654692
ENSMUSG00000000567.5	0.995258777218838
ENSMUSG00000000568.15	0.997962746245993
ENSMUSG00000000579.14	0.998002405436126
ENSMUSG00000000581.8	0.835384319031095
ENSMUSG00000000594.7	0.998086414783379
ENSMUSG00000000600.15	0.830893164267911
ENSMUSG00000000605.9	0.994065678911646
ENSMUSG00000000606.16	NA
ENSMUSG00000000617.14	NA
ENSMUSG00000000627.15	0.996544111997947
ENSMUSG00000000628.10	0.994114920341482
ENSMUSG00000000631.20	0.995155266362291
ENSMUSG00000000632.13	NA
ENSMUSG00000000673.8	0.993161586730052
ENSMUSG00000000682.7	0.911665113238884
ENSMUSG00000000686.11	0.996940457768117
ENSMUSG00000000690.5	0.996791552401318
ENSMUSG00000000693.10	0.93859423460298
ENSMUSG00000000701.8	NA
ENSMUSG00000000706.16	NA
ENSMUSG00000000708.14	0.554452629328135
ENSMUSG00000000711.3	0.994867016947658
ENSMUSG00000000724.10	NA
ENSMUSG00000000730.13	0.969975846745022
ENSMUSG00000000731.15	0.995050148414108
ENSMUSG00000000732.9	0.993247860111616
ENSMUSG00000000738.18	0.997932019622943
ENSMUSG00000000739.14	0.993670762992264
ENSMUSG00000000740.12	0.162022517592132
ENSMUSG00000000743.9	0.937520216173194
ENSMUSG00000000751.13	0.999637318258086
ENSMUSG00000000753.15	0.999366017591598
ENSMUSG00000000759.14	0.994611775034804
ENSMUSG00000000766.18	NA
ENSMUSG00000000776.13	0.938590794168304
ENSMUSG00000000782.15	0.998060089329582
ENSMUSG00000000787.12	0.997573167640598
ENSMUSG00000000791.9	NA
ENSMUSG00000000792.2	NA
ENSMUSG00000000794.9	0.996808131862411
ENSMUSG00000000804.14	0.928953194506377
ENSMUSG00000000805.18	0.993671237729984
ENSMUSG00000000811.13	0.977228793064757
ENSMUSG00000000817.10	NA
ENSMUSG00000000823.16	0.815374393614534
ENSMUSG00000000826.16	0.99513192050026
ENSMUSG00000000827.18	0.657619532937509
ENSMUSG00000000838.17	0.938504440768236
ENSMUSG00000000861.15	0.997486932745993
ENSMUSG00000000869.12	NA
ENSMUSG00000000876.11	0.993202042175282
ENSMUSG00000000881.12	0.998162080376053
ENSMUSG00000000884.16	0.993741240375504
ENSMUSG00000000889.8	0.0084964890385426
ENSMUSG00000000901.16	0.994372201394486
ENSMUSG00000000902.13	0.996740402951052
ENSMUSG00000000903.3	NA
ENSMUSG00000000915.15	0.998752507379625
ENSMUSG00000000916.15	0.99940835166693
ENSMUSG00000000934.9	0.824854151474845
ENSMUSG00000000938.11	0.99592152649733
ENSMUSG00000000942.10	0.995652722694175
ENSMUSG00000000948.16	0.994375798692111
ENSMUSG00000000957.11	0.99861238735897
ENSMUSG00000000958.10	0.994141599753154
ENSMUSG00000000959.7	0.999761051868079
ENSMUSG00000000976.13	0.99822971994567
ENSMUSG00000000982.5	NA
ENSMUSG00000000983.13	NA
ENSMUSG00000001014.6	0.983512972347136
ENSMUSG00000001016.12	0.997065752833576
ENSMUSG00000001017.15	0.907754946760285
ENSMUSG00000001018.15	0.997868898546151
ENSMUSG00000001020.8	0.854762846984992
ENSMUSG00000001021.12	NA
ENSMUSG00000001023.10	NA
ENSMUSG00000001025.8	0.997222915758553
ENSMUSG00000001027.7	0.879660314053586
ENSMUSG00000001029.15	0.884609579017718
ENSMUSG00000001034.17	0.9932408119142
ENSMUSG00000001036.17	0.998734058019869
ENSMUSG00000001039.12	0.884638604526805
ENSMUSG00000001052.15	0.99409708038919
ENSMUSG00000001053.15	0.994463608344256
ENSMUSG00000001054.9	0.99580552729405
ENSMUSG00000001056.3	0.685167602920705
ENSMUSG00000001062.18	0.993052810995287
ENSMUSG00000001065.15	0.994439150537524
ENSMUSG00000001076.7	0.99314649565148
ENSMUSG00000001082.12	0.993566943680886
ENSMUSG00000001089.14	0.976205495974738
ENSMUSG00000001095.5	0.85863952853843
ENSMUSG00000001098.15	0.930594346485523
ENSMUSG00000001100.10	0.987831932655037
ENSMUSG00000001103.7	NA
ENSMUSG00000001105.15	0.995162421424736
ENSMUSG00000001119.7	0.993464312640997
ENSMUSG00000001120.15	0.999434000184293
ENSMUSG00000001123.15	0.987889618312089
ENSMUSG00000001127.12	0.996886323845891
ENSMUSG00000001128.7	0.919720608959018
ENSMUSG00000001131.11	0.993841575762888
ENSMUSG00000001134.9	0.999450313782851
ENSMUSG00000001138.13	0.997798617081739
ENSMUSG00000001143.13	0.99334548905993
ENSMUSG00000001150.7	0.996089636693081
ENSMUSG00000001151.10	0.995109825524572
ENSMUSG00000001155.13	NA
ENSMUSG00000001156.9	0.996771057433679
ENSMUSG00000001157.13	0.997696851424338
ENSMUSG00000001158.13	0.715784016500925
ENSMUSG00000001166.17	0.997691189656005
ENSMUSG00000001168.16	NA
ENSMUSG00000001173.15	0.994071926383509
ENSMUSG00000001175.14	0.737140655047614
ENSMUSG00000001211.15	0.998608229170146
ENSMUSG00000001225.12	NA
ENSMUSG00000001227.11	0.99546096436867
ENSMUSG00000001228.14	0.998501979258384
ENSMUSG00000001229.8	0.998945918852878
ENSMUSG00000001240.13	0.60082678779951
ENSMUSG00000001247.16	0.608103532673805
ENSMUSG00000001248.15	0.987895878693295
ENSMUSG00000001249.14	0.996997896909925
ENSMUSG00000001260.10	0.998289621009585
ENSMUSG00000001270.9	0.993975012931809
ENSMUSG00000001280.13	0.995022630300377
ENSMUSG00000001281.10	0.854763848798695
ENSMUSG00000001285.12	0.993786117776208
ENSMUSG00000001288.15	0.999349803875985
ENSMUSG00000001289.12	0.97426137048808
ENSMUSG00000001300.16	0.995711870891229
ENSMUSG00000001305.5	0.706315212369693
ENSMUSG00000001313.12	0.998845573774397
ENSMUSG00000001323.17	0.997448578959257
ENSMUSG00000001333.9	0.995424665738949
ENSMUSG00000001334.9	0.998831254180225
ENSMUSG00000001348.15	0.993990068077295
ENSMUSG00000001349.5	0.99391592835064
ENSMUSG00000001366.14	0.999319910690764
ENSMUSG00000001376.17	0.998252059605777
ENSMUSG00000001380.6	0.999523131484494
ENSMUSG00000001383.8	0.987818877602104
ENSMUSG00000001403.13	0.932860957632651
ENSMUSG00000001415.10	0.993966771121191
ENSMUSG00000001416.13	0.753552010369995
ENSMUSG00000001418.13	0.938579719202162
ENSMUSG00000001419.17	0.994059277995071
ENSMUSG00000001420.13	0.993320473148164
ENSMUSG00000001424.14	0.999128510969576
ENSMUSG00000001435.15	0.996463316290368
ENSMUSG00000001436.15	0.993504387357331
ENSMUSG00000001440.5	0.997006876014298
ENSMUSG00000001441.13	0.987707612722274
ENSMUSG00000001444.2	NA
ENSMUSG00000001445.10	0.99810190451874
ENSMUSG00000001467.5	0.980568792528882
ENSMUSG00000001472.17	0.999816700649229
ENSMUSG00000001473.6	0.697911954137698
ENSMUSG00000001482.15	0.999264241933999
ENSMUSG00000001493.9	0.998395777222242
ENSMUSG00000001494.6	0.995730391640069
ENSMUSG00000001496.15	NA
ENSMUSG00000001497.18	NA
ENSMUSG00000001504.10	0.997065677549879
ENSMUSG00000001506.10	0.992938166963802
ENSMUSG00000001507.16	0.997164114901747
ENSMUSG00000001508.15	0.331655449297487
ENSMUSG00000001510.8	0.996900810453885
ENSMUSG00000001517.14	0.999429562069733
ENSMUSG00000001518.12	0.998845287873072
ENSMUSG00000001520.12	0.998665090225585
ENSMUSG00000001521.12	0.999023169904409
ENSMUSG00000001524.14	0.99497471605719
ENSMUSG00000001525.10	0.879239574891037
