gene_id	tumorvs12w_padj
ENSMUSG00000000001.4	0.469898439624828
ENSMUSG00000000003.15	NA
ENSMUSG00000000028.14	0.000351295028776856
ENSMUSG00000000031.16	0.121396230735052
ENSMUSG00000000037.16	0.0279304847533659
ENSMUSG00000000049.11	0.189336792741195
ENSMUSG00000000056.7	4.56059166157654e-06
ENSMUSG00000000058.6	0.31484962902687
ENSMUSG00000000078.7	2.99289588630627e-18
ENSMUSG00000000085.16	1.01716958364347e-11
ENSMUSG00000000088.7	0.189910586176231
ENSMUSG00000000093.6	0.663380545300121
ENSMUSG00000000094.12	NA
ENSMUSG00000000103.12	NA
ENSMUSG00000000120.6	0.0297285211501839
ENSMUSG00000000125.5	NA
ENSMUSG00000000126.11	0.00482340457917122
ENSMUSG00000000127.14	3.57220817576081e-08
ENSMUSG00000000131.15	8.87156127036763e-07
ENSMUSG00000000134.17	1.96920274122385e-18
ENSMUSG00000000142.15	0.000156193313591047
ENSMUSG00000000148.17	0.443721086342689
ENSMUSG00000000149.10	0.255674009600826
ENSMUSG00000000154.16	2.5714154727424e-45
ENSMUSG00000000157.15	NA
ENSMUSG00000000159.15	0.427396110255557
ENSMUSG00000000167.14	0.0358629271556861
ENSMUSG00000000168.9	0.0213586262205916
ENSMUSG00000000171.5	0.000496346971539819
ENSMUSG00000000182.9	NA
ENSMUSG00000000183.6	NA
ENSMUSG00000000184.12	0.0114464220478924
ENSMUSG00000000194.13	0.00155793411666611
ENSMUSG00000000197.8	0.385596948293521
ENSMUSG00000000202.9	1.74399026335775e-05
ENSMUSG00000000204.16	0.00026293192319132
ENSMUSG00000000214.11	NA
ENSMUSG00000000215.11	0.0774814747848788
ENSMUSG00000000216.8	0.0126533971999961
ENSMUSG00000000223.13	NA
ENSMUSG00000000244.17	0.0508767943183585
ENSMUSG00000000247.11	NA
ENSMUSG00000000248.16	NA
ENSMUSG00000000253.13	0.0167041610541679
ENSMUSG00000000263.15	NA
ENSMUSG00000000266.11	0.00450005585985981
ENSMUSG00000000275.16	0.0978396162514069
ENSMUSG00000000276.11	0.633484670407382
ENSMUSG00000000278.10	3.20056846385434e-06
ENSMUSG00000000282.12	0.00161725453486431
ENSMUSG00000000290.13	4.82174659073881e-21
ENSMUSG00000000295.13	9.88949299049183e-07
ENSMUSG00000000296.8	0.915478430392472
ENSMUSG00000000301.16	0.00615030546421481
ENSMUSG00000000303.12	3.98018657248069e-05
ENSMUSG00000000305.12	2.28794248702948e-05
ENSMUSG00000000308.14	0.0656526410474894
ENSMUSG00000000317.11	0.147450387869822
ENSMUSG00000000318.16	0.145908303591761
ENSMUSG00000000320.10	0.589682768607102
ENSMUSG00000000325.15	1.64519142940458e-05
ENSMUSG00000000326.12	0.210645064067995
ENSMUSG00000000339.14	0.0157835686631058
ENSMUSG00000000340.10	3.31250565554344e-34
ENSMUSG00000000346.9	0.011459688784044
ENSMUSG00000000355.13	2.58548934003851e-10
ENSMUSG00000000359.3	1.0941609183782e-07
ENSMUSG00000000365.9	NA
ENSMUSG00000000374.8	0.804575571903852
ENSMUSG00000000378.15	5.02370851635992e-10
ENSMUSG00000000381.10	NA
ENSMUSG00000000384.15	0.0134089897673872
ENSMUSG00000000385.7	0.114123138024051
ENSMUSG00000000386.14	2.77058570154167e-11
ENSMUSG00000000392.17	0.0519170972516181
ENSMUSG00000000394.15	NA
ENSMUSG00000000399.10	1.09173076624376e-16
ENSMUSG00000000402.2	NA
ENSMUSG00000000409.14	0.534461833428753
ENSMUSG00000000411.7	NA
ENSMUSG00000000416.16	0.00486299859402678
ENSMUSG00000000420.15	0.930758921100894
ENSMUSG00000000435.1	NA
ENSMUSG00000000439.9	0.0729909723616765
ENSMUSG00000000440.12	0.0381104681718202
ENSMUSG00000000441.17	0.146458274480507
ENSMUSG00000000486.13	2.79885188178018e-11
ENSMUSG00000000489.7	5.50312214762412e-06
ENSMUSG00000000530.16	0.967100202343818
ENSMUSG00000000531.5	0.00011313033591998
ENSMUSG00000000532.11	0.583358266069744
ENSMUSG00000000538.18	0.203151579577507
ENSMUSG00000000544.14	0.16382016635444
ENSMUSG00000000552.10	1.47698091328883e-08
ENSMUSG00000000555.8	5.90368554626448e-13
ENSMUSG00000000560.9	NA
ENSMUSG00000000561.14	0.0106047339732264
ENSMUSG00000000562.5	1.14943700845326e-05
ENSMUSG00000000563.17	9.25110784522573e-09
ENSMUSG00000000567.5	2.32147470032792e-45
ENSMUSG00000000568.15	0.9964106421588
ENSMUSG00000000579.14	0.207341695257658
ENSMUSG00000000581.8	2.37351111742268e-06
ENSMUSG00000000594.7	3.77923795347591e-17
ENSMUSG00000000600.15	0.626322024173004
ENSMUSG00000000605.9	0.513020875975552
ENSMUSG00000000606.16	NA
ENSMUSG00000000617.14	NA
ENSMUSG00000000627.15	0.0909484006392506
ENSMUSG00000000628.10	2.55388839484797e-32
ENSMUSG00000000631.20	0.0189727665997944
ENSMUSG00000000632.13	0.272863794603306
ENSMUSG00000000673.8	2.47166612971356e-135
ENSMUSG00000000682.7	9.75478081095842e-10
ENSMUSG00000000686.11	0.0540142435423099
ENSMUSG00000000690.5	0.823076150198928
ENSMUSG00000000693.10	0.0102425618181496
ENSMUSG00000000701.8	NA
ENSMUSG00000000706.16	0.129524506504213
ENSMUSG00000000708.14	0.0291113294454645
ENSMUSG00000000711.3	0.0725920201174997
ENSMUSG00000000724.10	NA
ENSMUSG00000000730.13	0.516096326906759
ENSMUSG00000000731.15	0.405940513106067
ENSMUSG00000000732.9	0.143309758382916
ENSMUSG00000000738.18	0.0341433184568823
ENSMUSG00000000739.14	7.212482836036e-10
ENSMUSG00000000740.12	0.468525935466697
ENSMUSG00000000743.9	0.234063235306428
ENSMUSG00000000751.13	0.837336207212866
ENSMUSG00000000753.15	0.000352958781894598
ENSMUSG00000000759.14	0.985219044177198
ENSMUSG00000000766.18	NA
ENSMUSG00000000776.13	0.0932622988162841
ENSMUSG00000000782.15	0.00699700076058141
ENSMUSG00000000787.12	0.0838490082865642
ENSMUSG00000000791.9	7.7962885901381e-11
ENSMUSG00000000792.2	0.0406431270308826
ENSMUSG00000000794.9	0.476542859167279
ENSMUSG00000000804.14	0.363995467638904
ENSMUSG00000000805.18	1.73389111485662e-54
ENSMUSG00000000811.13	8.56515606864354e-05
ENSMUSG00000000817.10	0.229011416438678
ENSMUSG00000000823.16	0.140979031275687
ENSMUSG00000000826.16	0.000436713624468654
ENSMUSG00000000827.18	0.82072822413181
ENSMUSG00000000838.17	0.236282879350463
ENSMUSG00000000861.15	0.035995014889332
ENSMUSG00000000869.12	NA
